x,y,z,
-61.4446,-195.405,-0.779334,
196.804,-136.746,0.0752546,
-37.3923,-199.606,-0.745187,
-16.5,-212.092,-0.618168,
-150.24,-213.093,2.25346,
-1.55855,-212.172,-0.626186,
-60.5206,-200.572,-0.639018,
4.72131,-214.7,-0.541839,
-67.2665,-203.017,-0.700003,
-13.5197,-208.537,-0.714714,
7.76015,-220.659,-0.208574,
-148.676,-213.382,2.32761,
-184.273,-145.959,-0.909928,
197.65,-133.312,0.0148752,
-109.369,-220.051,0.42602,
201.79,-136.266,1.39293,
-114.76,-217.26,0.203686,
-202.88,-136.865,-0.510144,
-199.09,-86.283,-0.883617,
-13.4379,-202.777,-0.655111,
-19.4625,-198.709,-0.653488,
5.28245,-207.734,-0.700953,
-201.158,-89.8255,-0.865364,
-1.46548,-205.338,-0.700323,
2.36158,-205.781,-0.695879,
4.66938,-205.255,-0.683902,
-94.4413,-220.405,0.309174,
1.6022,-202.47,-0.59295,
-172.126,-190.014,-0.113727,
-160.422,-193.578,-0.580164,
-145.403,-199.413,-0.677229,
-130.64,-205.495,-0.660415,
-177.209,-185.313,-0.106548,
-121.336,-208.568,-0.615227,
-117.797,-208.542,-0.657621,
-145.585,-196.437,-0.769763,
-172.753,-184.809,-0.474719,
-115.611,-208.507,-0.673984,
-100.515,-214.646,-0.33471,
-169.423,-184.518,-0.67415,
-132.82,-199.576,-0.787898,
-117.883,-205.412,-0.768933,
-166.304,-184.481,-0.775746,
-150.887,-191.539,-0.755353,
-93.3337,-215.484,-0.308049,
-120.242,-203.869,-0.806128,
-127.268,-200.309,-0.778557,
-91.1602,-214.658,-0.39431,
-139.478,-194.234,-0.842905,
-124.875,-199.682,-0.784635,
199.025,-118.005,-0.142061,
-114.558,-203.646,-0.821935,
-121.155,-200.211,-0.809621,
-127.602,-196.746,-0.873117,
-90.636,-212.409,-0.574803,
-96.4479,-207.786,-0.769129,
-102.584,-205.928,-0.816807,
-88.4344,-211.254,-0.63644,
-94.615,-208.43,-0.753349,
-100.412,-205.448,-0.820754,
-105.292,-203.735,-0.805866,
187.219,-166.609,1.18143,
-117.709,-196.849,-0.924711,
-82.3239,-211.614,-0.602466,
198.925,-111.49,-0.201549,
-73.3732,-214.516,-0.448292,
-99.988,-203.095,-0.853286,
-64.6702,-217.225,-0.122308,
-69.474,-215.733,-0.326207,
-117.695,-192.166,-0.730283,
-61.1562,-217.282,-0.234622,
179.703,-100.927,-0.783326,
-52.7108,-219.191,-0.00844715,
-58.6186,-217.489,-0.187853,
-85.557,-205.645,-0.745186,
-112.407,-193.876,-0.888429,
-118.315,-191.961,-0.653786,
-81.5457,-205.856,-0.739659,
-67.0289,-211.596,-0.619166,
-158.738,-173.019,-0.82071,
-58.6476,-214.477,-0.432469,
-64.3866,-211.553,-0.587454,
-91.7398,-199.17,-0.87855,
-96.3599,-196.999,-0.990298,
-166.786,-167.347,-0.976103,
-67.2871,-208.345,-0.753924,
-94.1328,-195.822,-0.818314,
